date,open,high,low,close,volume
2025-06-05,24691.19921875,24899.849609375,24613.099609375,24750.900390625,388400.0
2025-06-06,24748.69921875,25029.5,24671.44921875,25003.05078125,335600.0
2025-06-09,25160.099609375,25160.099609375,25077.150390625,25103.19921875,279200.0
2025-06-10,25196.05078125,25199.30078125,25055.44921875,25104.25,307300.0
2025-06-11,25134.150390625,25222.400390625,25081.30078125,25141.400390625,301200.0
2025-06-12,25164.44921875,25196.19921875,24825.900390625,24888.19921875,328300.0
2025-06-13,24473.0,24754.349609375,24473.0,24718.599609375,318700.0
2025-06-16,24732.349609375,24967.099609375,24703.599609375,24946.5,305800.0
2025-06-17,24977.849609375,24982.05078125,24813.69921875,24853.400390625,242400.0
2025-06-18,24788.349609375,24947.55078125,24750.44921875,24812.05078125,237600.0
2025-06-19,24803.25,24863.099609375,24733.400390625,24793.25,274600.0
2025-06-20,24787.650390625,25136.19921875,24783.650390625,25112.400390625,574700.0
2025-06-23,24939.75,25057.0,24824.849609375,24971.900390625,248500.0
2025-06-24,25179.900390625,25317.69921875,24999.69921875,25044.349609375,450200.0
2025-06-25,25150.349609375,25266.80078125,25125.05078125,25244.75,260600.0
2025-06-26,25268.94921875,25565.30078125,25259.900390625,25549.0,428900.0
2025-06-27,25576.650390625,25654.19921875,25523.55078125,25637.80078125,564000.0
2025-06-30,25661.650390625,25669.349609375,25473.30078125,25517.05078125,271000.0
2025-07-01,25551.349609375,25593.400390625,25501.80078125,25541.80078125,260700.0
2025-07-02,25588.30078125,25608.099609375,25378.75,25453.400390625,309800.0
2025-07-03,25505.099609375,25587.5,25384.349609375,25405.30078125,293400.0
2025-07-04,25428.849609375,25470.25,25331.650390625,25461.0,193500.0
2025-07-07,25450.44921875,25489.80078125,25407.25,25461.30078125,196100.0
2025-07-08,25427.849609375,25548.05078125,25424.150390625,25522.5,210400.0
2025-07-09,25514.599609375,25548.69921875,25424.349609375,25476.099609375,239100.0
2025-07-10,25511.650390625,25524.05078125,25340.44921875,25355.25,219600.0
2025-07-11,25255.5,25322.44921875,25129.0,25149.849609375,250000.0
2025-07-14,25149.5,25151.099609375,25001.94921875,25082.30078125,259500.0
2025-07-15,25089.5,25245.19921875,25088.44921875,25195.80078125,241300.0
2025-07-16,25196.599609375,25255.30078125,25121.05078125,25212.05078125,228800.0
2025-07-17,25230.75,25238.349609375,25101.0,25111.44921875,243400.0
2025-07-18,25108.55078125,25144.599609375,24918.650390625,24968.400390625,317000.0
2025-07-21,24999.0,25111.400390625,24882.30078125,25090.69921875,305200.0
2025-07-22,25166.650390625,25182.0,25035.55078125,25060.900390625,483700.0
2025-07-23,25139.349609375,25233.5,25085.5,25219.900390625,271500.0
2025-07-24,25243.30078125,25246.25,25018.69921875,25062.099609375,338700.0
2025-07-25,25010.349609375,25010.349609375,24806.349609375,24837.0,278100.0
2025-07-28,24782.44921875,24889.19921875,24646.599609375,24680.900390625,262100.0
2025-07-29,24609.650390625,24847.150390625,24598.599609375,24821.099609375,284700.0
2025-07-30,24890.400390625,24902.30078125,24771.94921875,24855.05078125,243900.0
2025-07-31,24642.25,24956.5,24635.0,24768.349609375,346300.0
2025-08-01,24734.900390625,24784.150390625,24535.05078125,24565.349609375,263400.0
2025-08-04,24596.05078125,24736.25,24554.0,24722.75,259300.0
2025-08-05,24720.25,24733.099609375,24590.30078125,24649.55078125,251800.0
2025-08-06,24641.349609375,24671.400390625,24539.19921875,24574.19921875,225100.0
2025-08-07,24464.19921875,24634.19921875,24344.150390625,24596.150390625,616700.0
2025-08-08,24544.25,24585.5,24337.5,24363.30078125,312600.0
2025-08-11,24371.5,24600.849609375,24347.44921875,24585.05078125,241100.0
2025-08-12,24563.349609375,24702.599609375,24465.650390625,24487.400390625,237000.0
2025-08-13,24586.19921875,24664.55078125,24535.25,24619.349609375,236000.0
2025-08-14,24607.25,24673.650390625,24596.900390625,24631.30078125,270200.0
2025-08-18,24938.19921875,25022.0,24852.849609375,24876.94921875,363100.0
2025-08-19,24891.349609375,25012.650390625,24873.94921875,24980.650390625,252300.0
2025-08-20,24965.80078125,25088.69921875,24929.69921875,25050.55078125,287100.0
2025-08-21,25142.0,25153.650390625,25054.900390625,25083.75,226500.0
2025-08-22,25064.150390625,25084.849609375,24859.150390625,24870.099609375,210200.0
2025-08-25,24949.150390625,25021.55078125,24894.349609375,24967.75,213000.0
2025-08-26,24899.5,24919.650390625,24689.599609375,24712.05078125,750500.0
2025-08-28,24695.80078125,24702.650390625,24481.599609375,24500.900390625,326600.0
2025-08-29,24466.69921875,24572.44921875,24404.69921875,24426.849609375,325500.0
2025-09-01,24432.69921875,24635.599609375,24432.69921875,24625.05078125,229300.0
2025-09-02,24653.0,24756.099609375,24522.349609375,24579.599609375,271600.0
2025-09-03,24616.5,24737.05078125,24533.19921875,24715.05078125,340300.0
2025-09-04,24980.75,24980.75,24708.19921875,24734.30078125,314100.0
2025-09-05,24818.849609375,24832.349609375,24621.599609375,24741.0,0.0
